transaction_id,account_id,employee_id,transaction_date,transaction_type,channel,amount,balance_after
TXN0000613,ACC000064,EMP003,2025-06-01 21:27:00,Transferencia enviada,Sucursal,589708.17,18472141.73
TXN0001676,ACC000181,,2026-01-12 14:29:00,Retiro,Cajero automatico,1597755.11,17838607.98
TXN0001907,ACC000204,,2026-05-19 11:06:00,Pago de cuota,Cajero automatico,921233.3,4298774.32
TXN0001712,ACC000186,,2025-06-05 07:00:00,Transferencia enviada,Banca web,629730.01,7292661.52
TXN0001552,ACC000165,,2025-07-24 12:59:00,Pago de servicios,Datafono,2121734.12,18338163.75
TXN0000257,ACC000027,EMP011,2025-11-02 12:23:00,Transferencia recibida,Sucursal,3406726.47,15826395.06
TXN0000160,ACC000017,,2025-09-16 12:07:00,Deposito,Cajero automatico,2351712.91,21286179.18
TXN0001905,ACC000204,,2025-09-14 09:25:00,Transferencia enviada,Banca web,1874294.55,22627019.41
TXN0000287,ACC000031,,2025-12-09 17:56:00,Retiro,Banca web,1463660.78,21745964.99
TXN0002186,ACC000235,,2026-05-28 14:44:00,Transferencia recibida,Cajero automatico,2511131.0,16558686.84
TXN0001629,ACC000173,,2026-02-02 08:09:00,Transferencia enviada,Cajero automatico,3003881.25,21531025.01
TXN0000859,ACC000099,EMP020,2026-02-21 08:21:00,Pago de servicios,Sucursal,3183266.41,3666777.53
TXN0001152,ACC000127,,2025-05-10 07:53:00,Transferencia enviada,Banca web,93520.81,24748437.76
TXN0001825,ACC000199,,2026-01-14 07:23:00,Pago de cuota,App movil,2877307.96,18242696.12
TXN0001060,ACC000120,,2025-05-06 19:50:00,Compra con tarjeta,Banca web,1987651.88,7217329.25
TXN0000604,ACC000063,,2025-09-17 17:16:00,Deposito,Datafono,295375.77,2857247.92
TXN0002100,ACC000223,EMP014,2026-01-24 11:52:00,Deposito,Sucursal,1244169.36,16379819.37
TXN0000793,ACC000093,,2026-03-23 14:49:00,Consignacion,App movil,1788533.19,15878143.83
TXN0002104,ACC000224,EMP017,2025-11-09 06:02:00,Pago de cuota,Sucursal,2505892.29,11019134.37
TXN0001246,ACC000135,EMP005,2026-05-02 16:21:00,Pago de servicios,Sucursal,3196889.39,4077013.62
TXN0000125,ACC000014,,2025-01-05 07:35:00,Consignacion,Banca web,2937468.23,23110028.14
TXN0002078,ACC000222,,2026-02-25 07:20:00,Deposito,Banca web,924836.49,20506582.45
TXN0001617,ACC000170,,2025-06-30 18:02:00,Compra con tarjeta,App movil,647545.52,21640484.05
TXN0001823,ACC000199,,2025-12-16 08:23:00,Transferencia enviada,Datafono,970026.81,10135531.86
TXN0000247,ACC000027,,2025-10-06 15:41:00,Pago de cuota,Datafono,2832742.19,4708135.64
TXN0000551,ACC000057,,2025-02-07 12:10:00,Pago de servicios,App movil,486142.89,19743849.3
TXN0001792,ACC000196,,2025-01-17 08:06:00,Transferencia recibida,Datafono,3136779.32,10274275.16
TXN0000294,ACC000031,,2025-09-30 19:20:00,Pago de cuota,Datafono,322685.32,10594279.65
TXN0000106,ACC000011,EMP010,2026-03-25 14:56:00,Transferencia enviada,Sucursal,2854225.37,2854661.68
TXN0000945,ACC000109,,2026-03-10 20:35:00,Pago de servicios,App movil,3217834.3,17736726.86
TXN0001925,ACC000209,,2026-05-20 18:34:00,Pago de cuota,Cajero automatico,3001012.94,12650079.35
TXN0001994,ACC000216,,2025-02-02 20:08:00,Consignacion,App movil,2319394.68,23310736.26
TXN0001256,ACC000135,,2026-04-29 18:53:00,Retiro,Banca web,2474722.11,9695472.1
TXN0000051,ACC000006,,2026-05-02 13:30:00,Deposito,App movil,285553.12,12557515.74
TXN0000989,ACC000112,,2025-08-17 20:35:00,Consignacion,Banca web,409608.86,23764281.88
TXN0001507,ACC000159,,2025-12-19 16:05:00,Transferencia enviada,App movil,250426.07,15604537.16
TXN0001746,ACC000190,EMP010,2025-10-12 08:22:00,Transferencia recibida,Sucursal,625630.91,13637158.32
TXN0000301,ACC000031,,2025-05-25 06:24:00,Deposito,Datafono,3172080.6,6393854.05
TXN0000697,ACC000079,,2025-09-11 09:30:00,Deposito,Cajero automatico,3356221.28,20542628.56
TXN0000427,ACC000045,,2025-08-05 20:43:00,Transferencia recibida,Datafono,529848.17,23121147.14
TXN0002200,ACC000237,,2026-04-01 09:05:00,Transferencia recibida,App movil,2948069.5,17845219.5
TXN0001320,ACC000142,EMP022,2025-08-22 12:23:00,Compra con tarjeta,Sucursal,2196143.08,12690338.39
TXN0001593,ACC000168,,2026-03-19 08:38:00,Compra con tarjeta,App movil,3097855.49,23118729.7
TXN0001445,ACC000156,,2026-05-27 08:11:00,Transferencia recibida,App movil,1410982.86,8786505.11
TXN0000333,ACC000036,,2025-01-06 21:15:00,Consignacion,Cajero automatico,2065129.52,11348924.71
TXN0001804,ACC000196,,2025-03-06 11:30:00,Compra con tarjeta,Banca web,36603.55,887886.36
TXN0000222,ACC000024,,2026-01-17 17:54:00,Transferencia enviada,Banca web,985907.07,14289528.86
TXN0001444,ACC000156,,2025-12-18 11:06:00,Pago de cuota,App movil,1249497.76,21977822.65
TXN0000928,ACC000109,,2026-03-12 10:57:00,Pago de servicios,App movil,2190406.37,8716158.22
TXN0001632,ACC000173,,2025-11-25 18:01:00,Compra con tarjeta,Cajero automatico,2354079.37,9775497.93
TXN0001878,ACC000203,,2026-06-17 10:42:00,Pago de servicios,Datafono,2651972.62,20702060.02
TXN0000711,ACC000079,EMP017,2025-02-13 21:14:00,Consignacion,Sucursal,2429339.75,15601761.24
TXN0000681,ACC000073,,2026-04-16 16:01:00,Deposito,Cajero automatico,2266087.09,15223580.89
TXN0001280,ACC000137,EMP023,2025-07-10 14:32:00,Pago de servicios,Sucursal,3185014.97,6824258.29
TXN0001098,ACC000123,,2026-01-04 19:36:00,Compra con tarjeta,Datafono,3027074.14,4640755.86
TXN0000234,ACC000026,,2026-01-07 20:26:00,Deposito,Cajero automatico,651762.83,3134747.37
TXN0000958,ACC000110,,2026-03-18 07:57:00,Retiro,Banca web,844496.09,23950811.13
TXN0001115,ACC000125,EMP014,2026-03-26 11:18:00,Transferencia recibida,Sucursal,1230339.45,24952239.34
TXN0001583,ACC000168,,2025-08-29 20:55:00,Pago de servicios,Datafono,2435265.83,6758970.21
TXN0000431,ACC000045,,2025-07-27 19:21:00,Transferencia enviada,Banca web,1141579.94,8046531.25
TXN0001281,ACC000137,,2026-02-21 12:01:00,Pago de servicios,Banca web,2303672.63,6683661.46
TXN0001890,ACC000203,,2026-02-22 11:55:00,Consignacion,Datafono,693689.31,16055409.7
TXN0000437,ACC000046,,2025-06-28 07:38:00,Retiro,Cajero automatico,2513023.66,15683519.43
TXN0001769,ACC000194,,2025-08-05 18:12:00,Transferencia enviada,Datafono,1031545.01,10118969.63
TXN0000992,ACC000112,EMP008,2025-01-05 19:02:00,Compra con tarjeta,Sucursal,545279.97,21020832.92
TXN0000339,ACC000037,,2025-03-08 15:30:00,Pago de servicios,Cajero automatico,435861.07,8236921.09
TXN0002130,ACC000226,,2026-04-16 06:33:00,Retiro,Cajero automatico,1894375.29,11817235.8
TXN0000914,ACC000106,,2025-08-14 16:17:00,Pago de cuota,Cajero automatico,2040006.66,3899480.51
TXN0001554,ACC000165,EMP018,2025-07-29 10:18:00,Pago de cuota,Sucursal,2284206.03,1976954.71
TXN0001093,ACC000123,,2025-06-28 18:48:00,Deposito,Banca web,3229091.54,15301471.58
TXN0001123,ACC000125,EMP001,2026-01-27 18:28:00,Transferencia enviada,Sucursal,727998.12,16501543.12
TXN0000455,ACC000047,,2025-01-13 19:13:00,Transferencia recibida,Cajero automatico,1260835.83,16194528.56
TXN0001243,ACC000135,,2025-08-04 14:13:00,Retiro,Banca web,920352.24,12930575.18
TXN0000383,ACC000041,,2026-01-27 18:24:00,Transferencia enviada,Banca web,1912464.57,11877036.61
TXN0001091,ACC000123,EMP008,2026-02-18 08:02:00,Retiro,Sucursal,818648.04,12490853.27
TXN0001279,ACC000137,,2025-09-07 07:23:00,Pago de cuota,Datafono,1660485.22,6876920.97
TXN0000030,ACC000005,,2026-02-10 09:21:00,Transferencia enviada,App movil,1135885.18,18311477.12
TXN0000844,ACC000096,,2026-06-06 13:01:00,Consignacion,Datafono,2009706.86,6850382.93
TXN0001136,ACC000126,,2025-02-12 13:03:00,Deposito,App movil,3413735.33,16962911.61
TXN0000836,ACC000096,,2025-11-08 20:41:00,Consignacion,Cajero automatico,2024279.36,17401928.59
TXN0000129,ACC000014,,2025-11-18 12:12:00,Pago de servicios,Cajero automatico,2188344.89,17168416.32
TXN0001210,ACC000132,,2025-12-05 09:03:00,Transferencia enviada,Datafono,1645742.42,1678632.32
TXN0001591,ACC000168,,2025-12-22 19:11:00,Consignacion,Datafono,1412209.38,24587984.66
TXN0000008,ACC000001,,2025-04-22 10:06:00,Compra con tarjeta,Cajero automatico,1578987.95,10168748.67
TXN0001067,ACC000121,EMP010,2026-01-31 19:25:00,Pago de servicios,Sucursal,3221477.51,4340816.21
TXN0002191,ACC000235,,2025-03-04 11:42:00,Transferencia enviada,Datafono,2461573.01,5478690.05
TXN0002096,ACC000223,,2026-01-12 15:41:00,Transferencia enviada,Banca web,1191501.82,21748059.52
TXN0001343,ACC000144,,2026-04-27 07:49:00,Consignacion,Banca web,2410425.37,6253654.67
TXN0000854,ACC000099,,2025-08-10 17:17:00,Pago de cuota,Cajero automatico,2554574.37,1868247.89
TXN0002170,ACC000233,EMP023,2025-02-25 11:10:00,Compra con tarjeta,Sucursal,2512632.79,22985237.58
TXN0001579,ACC000168,,2025-01-01 15:28:00,Transferencia enviada,Banca web,2553331.32,2439844.42
TXN0001920,ACC000209,,2026-03-20 14:32:00,Pago de servicios,App movil,2272813.58,22063454.3
TXN0001901,ACC000204,,2026-06-10 16:08:00,Compra con tarjeta,Banca web,1740160.81,9405767.9
TXN0000561,ACC000057,,2026-01-07 09:34:00,Pago de cuota,Cajero automatico,3003188.52,206574.0
TXN0001061,ACC000120,,2025-01-09 21:59:00,Transferencia enviada,Cajero automatico,1637447.98,13084422.37
TXN0002068,ACC000222,,2025-12-01 11:58:00,Pago de servicios,Banca web,2196799.44,13652416.3
TXN0002221,ACC000238,EMP013,2025-06-12 12:07:00,Pago de servicios,Sucursal,875315.78,1681352.05
TXN0001692,ACC000184,EMP019,2025-12-01 15:23:00,Consignacion,Sucursal,2053817.86,18964727.1
TXN0001644,ACC000174,,2025-10-26 13:13:00,Compra con tarjeta,Datafono,2766908.14,4585115.06
TXN0000239,ACC000026,,2026-01-01 16:55:00,Pago de servicios,Banca web,1640505.23,13718146.41
TXN0000888,ACC000104,EMP025,2025-07-11 13:17:00,Transferencia recibida,Sucursal,3479957.14,16661597.89
TXN0001708,ACC000186,,2025-05-02 15:15:00,Consignacion,Banca web,3078079.39,23196609.55
TXN0001469,ACC000158,,2026-02-28 18:17:00,Consignacion,Cajero automatico,2860369.0,6343102.83
TXN0000467,ACC000047,,2025-03-20 09:10:00,Transferencia enviada,App movil,400965.79,12413255.09
TXN0001850,ACC000201,,2025-01-14 13:44:00,Consignacion,Banca web,1175143.34,6604539.88
TXN0000789,ACC000093,,2025-10-18 18:35:00,Compra con tarjeta,Datafono,1688146.73,3425042.17
TXN0001975,ACC000213,EMP013,2025-11-12 14:26:00,Consignacion,Sucursal,2539503.36,18430502.21
TXN0002098,ACC000223,,2026-05-19 08:28:00,Pago de cuota,Banca web,3155084.65,19106290.29
TXN0001753,ACC000192,,2025-01-18 17:41:00,Deposito,App movil,1460212.55,24239897.41
TXN0001598,ACC000170,,2025-12-09 21:07:00,Compra con tarjeta,App movil,2564172.9,13715783.19
TXN0001313,ACC000142,,2025-05-12 10:38:00,Pago de servicios,App movil,3008425.21,15922690.63
TXN0000136,ACC000014,,2025-02-18 18:24:00,Compra con tarjeta,Banca web,3348889.88,24146172.01
TXN0001902,ACC000204,EMP025,2025-07-14 12:28:00,Deposito,Sucursal,1081772.89,18152406.24
TXN0001908,ACC000204,,2025-12-15 21:50:00,Pago de cuota,Datafono,1538379.2,21665922.47
TXN0002235,ACC000238,,2025-07-25 16:51:00,Pago de servicios,Cajero automatico,3106891.83,23681395.18
TXN0001021,ACC000115,,2026-05-26 07:17:00,Consignacion,Banca web,426213.99,4286781.83
TXN0000650,ACC000068,,2026-05-26 19:28:00,Pago de cuota,Banca web,2563692.19,20597057.64
TXN0000656,ACC000068,,2025-08-09 11:52:00,Compra con tarjeta,Banca web,17279.28,1698437.82
TXN0000488,ACC000051,,2026-03-01 10:53:00,Transferencia enviada,Datafono,2096795.62,5202516.93
TXN0000377,ACC000041,,2025-03-04 08:13:00,Deposito,Cajero automatico,3106542.76,18929372.16
TXN0001058,ACC000120,,2025-10-08 20:56:00,Compra con tarjeta,Datafono,620583.35,22200992.62
TXN0001551,ACC000165,,2026-05-10 10:50:00,Consignacion,App movil,3348770.02,24632261.38
TXN0000682,ACC000073,,2025-01-05 06:43:00,Consignacion,Cajero automatico,1451938.98,19064006.39
TXN0001285,ACC000139,,2026-05-26 12:34:00,Pago de servicios,Cajero automatico,2358720.97,10079426.23
TXN0001906,ACC000204,,2026-05-27 11:58:00,Transferencia enviada,Cajero automatico,272373.19,15980171.0
TXN0001931,ACC000209,,2025-12-17 17:17:00,Pago de cuota,App movil,647120.58,11522538.55
TXN0000037,ACC000006,,2026-03-06 11:56:00,Pago de cuota,Banca web,1730856.16,8787266.92
TXN0000046,ACC000006,,2025-11-12 18:30:00,Pago de servicios,Banca web,3133122.42,2287510.57
TXN0000581,ACC000062,,2026-01-15 10:57:00,Transferencia enviada,Datafono,153526.21,6514688.39
TXN0001932,ACC000209,,2026-02-08 12:08:00,Pago de servicios,App movil,2894374.79,4650365.31
TXN0001414,ACC000155,,2025-02-10 17:41:00,Deposito,Banca web,2984293.29,23505523.06
TXN0000190,ACC000020,,2026-03-16 13:51:00,Pago de cuota,Banca web,2765548.99,8769440.17
TXN0002050,ACC000221,,2026-01-22 17:06:00,Pago de cuota,Banca web,2037807.79,4551314.02
TXN0000660,ACC000068,,2026-02-24 18:14:00,Deposito,Banca web,1193102.61,23952406.51
TXN0000299,ACC000031,,2025-04-24 15:28:00,Transferencia recibida,Banca web,89390.92,18502924.5
TXN0001394,ACC000154,,2025-07-23 17:33:00,Deposito,Datafono,2731982.55,20008497.13
TXN0000321,ACC000035,,2026-01-25 16:25:00,Deposito,Datafono,3287595.58,13021020.79
TXN0000785,ACC000093,,2026-04-05 12:17:00,Compra con tarjeta,Banca web,289255.74,9962129.38
TXN0002223,ACC000238,,2026-03-06 21:00:00,Pago de cuota,Datafono,205011.03,13933929.35
TXN0000163,ACC000019,,2025-11-22 21:28:00,Pago de servicios,App movil,2161035.08,17339518.65
TXN0000085,ACC000010,,2026-04-14 10:20:00,Consignacion,Cajero automatico,2728504.71,8322409.88
TXN0000890,ACC000104,,2025-05-16 18:02:00,Transferencia enviada,App movil,3466491.8,10663311.4
TXN0000885,ACC000104,EMP008,2026-02-03 10:07:00,Compra con tarjeta,Sucursal,450171.29,12505023.28
TXN0000211,ACC000023,EMP014,2025-09-27 13:18:00,Compra con tarjeta,Sucursal,2361205.73,1909960.23
TXN0000441,ACC000046,,2026-05-01 21:11:00,Deposito,Cajero automatico,2348797.8,1360150.08
TXN0002082,ACC000222,,2026-02-19 18:50:00,Transferencia enviada,Cajero automatico,2991465.91,19262913.36
TXN0001357,ACC000149,,2026-03-19 06:25:00,Pago de cuota,Datafono,1035410.12,481602.54
TXN0000113,ACC000011,,2025-02-25 06:41:00,Consignacion,Cajero automatico,1774430.83,21298260.07
TXN0001221,ACC000134,EMP018,2026-05-17 14:43:00,Transferencia enviada,Sucursal,2285801.51,642135.91
TXN0001673,ACC000180,,2026-04-19 17:46:00,Transferencia enviada,Cajero automatico,542987.94,6148707.09
TXN0000424,ACC000045,EMP018,2026-03-25 12:08:00,Transferencia recibida,Sucursal,98522.47,12235921.44
TXN0001218,ACC000134,,2026-05-28 09:15:00,Pago de cuota,Datafono,1382430.85,17659052.34
TXN0000988,ACC000111,,2025-04-13 20:32:00,Pago de servicios,Datafono,2822488.55,21294114.35
TXN0001525,ACC000162,,2026-06-04 06:05:00,Pago de servicios,Cajero automatico,3409924.34,3605880.36
TXN0001893,ACC000204,,2026-04-05 10:46:00,Pago de cuota,Banca web,2672752.58,16788121.7
TXN0001046,ACC000118,,2025-04-14 13:46:00,Transferencia enviada,App movil,1738149.09,19645334.01
TXN0000601,ACC000063,,2026-03-24 08:58:00,Transferencia enviada,Banca web,1058372.46,17111005.29
TXN0001006,ACC000115,,2025-09-18 09:12:00,Deposito,Datafono,113147.8,12954693.09
TXN0000909,ACC000106,,2025-06-01 14:59:00,Deposito,Cajero automatico,953817.65,16063903.98
TXN0000381,ACC000041,,2025-02-24 06:45:00,Compra con tarjeta,Datafono,2874428.96,2751360.94
TXN0000663,ACC000069,,2026-06-19 12:48:00,Deposito,Banca web,1764209.42,3015876.58
TXN0000342,ACC000037,,2025-11-21 14:33:00,Compra con tarjeta,Datafono,3482634.93,23178363.15
TXN0001809,ACC000196,,2026-04-22 08:55:00,Transferencia enviada,Datafono,412562.84,22521765.19
TXN0002196,ACC000237,,2026-04-07 16:54:00,Retiro,Datafono,3013856.1,4283088.19
TXN0000344,ACC000037,EMP014,2025-07-18 06:07:00,Retiro,Sucursal,2192857.99,18439334.71
TXN0000076,ACC000010,,2025-11-02 12:09:00,Deposito,Datafono,2681505.62,20137691.27
TXN0001778,ACC000195,,2025-10-08 19:03:00,Consignacion,App movil,20670.3,3973541.43
TXN0002113,ACC000224,,2025-07-28 13:37:00,Transferencia recibida,Banca web,577941.78,5964296.46
TXN0001763,ACC000194,,2026-03-07 08:42:00,Deposito,App movil,948978.18,3430921.93
TXN0001427,ACC000156,,2025-06-08 14:01:00,Transferencia recibida,Banca web,793395.42,6141339.94
TXN0001764,ACC000194,,2025-04-07 06:06:00,Compra con tarjeta,Banca web,158411.72,10155657.36
TXN0002159,ACC000231,,2026-01-04 20:16:00,Transferencia recibida,Datafono,2676153.69,8441503.76
TXN0000873,ACC000101,EMP006,2025-06-22 13:11:00,Compra con tarjeta,Sucursal,2939537.18,23812565.22
TXN0002220,ACC000238,EMP013,2025-04-02 19:43:00,Deposito,Sucursal,1051897.52,21516409.12
TXN0001585,ACC000168,,2025-01-31 07:31:00,Pago de cuota,Banca web,2908274.74,4383822.08
TXN0001773,ACC000195,EMP024,2025-09-13 07:46:00,Transferencia recibida,Sucursal,1387568.5,6920961.28
TXN0000920,ACC000106,EMP025,2025-02-14 10:15:00,Deposito,Sucursal,507798.26,19812086.85
TXN0002111,ACC000224,,2025-05-17 21:06:00,Transferencia enviada,App movil,2940712.4,6352289.96
TXN0000295,ACC000031,,2025-12-23 12:20:00,Deposito,App movil,2082631.25,19244335.49
TXN0001429,ACC000156,,2025-01-22 21:53:00,Transferencia recibida,Banca web,1456695.18,10313965.91
TXN0000348,ACC000037,,2025-07-18 16:53:00,Consignacion,App movil,3228756.38,22904914.7
TXN0001456,ACC000157,,2026-05-07 09:54:00,Compra con tarjeta,Datafono,327427.63,22797556.99
TXN0000009,ACC000001,,2026-01-02 12:28:00,Retiro,App movil,1627079.62,2269617.99
TXN0000839,ACC000096,EMP004,2026-03-14 11:59:00,Consignacion,Sucursal,1250987.65,4499025.66
TXN0000666,ACC000069,,2025-07-04 19:01:00,Pago de servicios,Datafono,1117664.7,2284716.88
TXN0000700,ACC000079,,2025-03-05 20:03:00,Pago de cuota,App movil,2141477.85,1654098.58
TXN0000738,ACC000086,,2025-07-12 19:49:00,Consignacion,Banca web,741450.79,21325073.68
TXN0001228,ACC000134,EMP018,2025-04-17 07:23:00,Transferencia enviada,Sucursal,2472682.12,21774121.4
